     Time[s]      Injection_Rate[m^3/s]
  0.00000000E+00  0.00000000E+00
  0.78277886E+05  0.61180807E-09
  0.15655577E+06  0.12055736E-08
  0.23483366E+06  0.17812965E-08
  0.31311155E+06  0.23389769E-08
  0.39138943E+06  0.28786147E-08
  0.46966732E+06  0.34002100E-08
  0.54794521E+06  0.39037627E-08
  0.62622309E+06  0.43892728E-08
  0.70450098E+06  0.48567404E-08
  0.78277886E+06  0.53061655E-08
  0.86105675E+06  0.57375479E-08
  0.93933464E+06  0.61622313E-08
  0.10176125E+07  0.65925254E-08
  0.10958904E+07  0.70284303E-08
  0.11741683E+07  0.74699459E-08
  0.12524462E+07  0.79170722E-08
  0.13307241E+07  0.83698093E-08
  0.14090020E+07  0.88281571E-08
  0.14872798E+07  0.92921156E-08
  0.15655577E+07  0.97616849E-08
  0.16438356E+07  0.10236865E-07
  0.17221135E+07  0.10717656E-07
  0.18003914E+07  0.11193419E-07
  0.18786693E+07  0.11663678E-07
  0.19569472E+07  0.12128434E-07
  0.20352250E+07  0.12587686E-07
  0.21135029E+07  0.13041435E-07
  0.21917808E+07  0.13489680E-07
  0.22700587E+07  0.13932422E-07
  0.23483366E+07  0.14369660E-07
  0.24266145E+07  0.14801395E-07
  0.25048924E+07  0.15227626E-07
  0.25831703E+07  0.15652048E-07
  0.26614481E+07  0.16079426E-07
  0.27397260E+07  0.16509760E-07
  0.28180039E+07  0.16943049E-07
  0.28962818E+07  0.17379294E-07
  0.29745597E+07  0.17818495E-07
  0.30528376E+07  0.18260651E-07
  0.31311155E+07  0.18705763E-07
  0.32093933E+07  0.19153831E-07
  0.32876712E+07  0.19604854E-07
  0.33659491E+07  0.20058832E-07
  0.34442270E+07  0.20510111E-07
  0.35225049E+07  0.20958185E-07
  0.36007828E+07  0.21403052E-07
  0.36790607E+07  0.21844714E-07
  0.37573386E+07  0.22283171E-07
  0.38356164E+07  0.22718421E-07
  0.39138943E+07  0.23150466E-07
  0.39921722E+07  0.23579305E-07
  0.40704501E+07  0.24004938E-07
  0.41487280E+07  0.24427366E-07
  0.42270059E+07  0.24848649E-07
  0.43052838E+07  0.25271958E-07
  0.43835616E+07  0.25697292E-07
  0.44618395E+07  0.26124652E-07
  0.45401174E+07  0.26554038E-07
  0.46183953E+07  0.26985450E-07
  0.46966732E+07  0.27418887E-07
  0.47749511E+07  0.27854350E-07
  0.48532290E+07  0.28291839E-07
  0.49315068E+07  0.28731353E-07
  0.50097847E+07  0.29172893E-07
  0.50880626E+07  0.29612727E-07
  0.51663405E+07  0.30050306E-07
  0.52446184E+07  0.30485628E-07
  0.53228963E+07  0.30918694E-07
  0.54011742E+07  0.31349504E-07
  0.54794521E+07  0.31778058E-07
  0.55577299E+07  0.32204356E-07
  0.56360078E+07  0.32628399E-07
  0.57142857E+07  0.33050185E-07
  0.57925636E+07  0.33469715E-07
  0.58708415E+07  0.33888326E-07
  0.59491194E+07  0.34308484E-07
  0.60273973E+07  0.34730189E-07
  0.61056751E+07  0.35153443E-07
  0.61839530E+07  0.35578245E-07
  0.62622309E+07  0.36004594E-07
  0.63405088E+07  0.36432491E-07
  0.64187867E+07  0.36861936E-07
  0.64970646E+07  0.37292929E-07
  0.65753425E+07  0.37725470E-07
  0.66536204E+07  0.38159558E-07
  0.67318982E+07  0.38592469E-07
  0.68101761E+07  0.39023629E-07
  0.68884540E+07  0.39453050E-07
  0.69667319E+07  0.39880731E-07
  0.70450098E+07  0.40306673E-07
  0.71232877E+07  0.40730876E-07
  0.72015656E+07  0.41153338E-07
  0.72798434E+07  0.41574062E-07
  0.73581213E+07  0.41993046E-07
  0.74363992E+07  0.42410290E-07
  0.75146771E+07  0.42826718E-07
  0.75929550E+07  0.43244403E-07
  0.76712329E+07  0.43663343E-07
