     Time[s]      Injection_moment[Nm]
  0.00000000E+00  0.00000000E+00
  0.78277886E+05  0.15291332E+16
  0.15655577E+06  0.78750357E+18
  0.23483366E+06  0.23579233E+19
  0.31311155E+06  0.47127884E+19
  0.39138943E+06  0.78520987E+19
  0.46966732E+06  0.11775854E+20
  0.54794521E+06  0.16484055E+20
  0.62622309E+06  0.21976702E+20
  0.70450098E+06  0.28253793E+20
  0.78277886E+06  0.35315330E+20
  0.86105675E+06  0.43161312E+20
  0.93933464E+06  0.51536660E+20
  0.10176125E+07  0.60164563E+20
  0.10958904E+07  0.69045023E+20
  0.11741683E+07  0.78178038E+20
  0.12524462E+07  0.87563609E+20
  0.13307241E+07  0.97201737E+20
  0.14090020E+07  0.10709242E+21
  0.14872798E+07  0.11723566E+21
  0.15655577E+07  0.12763145E+21
  0.16438356E+07  0.13827981E+21
  0.17221135E+07  0.14918071E+21
  0.18003914E+07  0.16036413E+21
  0.18786693E+07  0.17183140E+21
  0.19569472E+07  0.18358253E+21
  0.20352250E+07  0.19561750E+21
  0.21135029E+07  0.20793633E+21
  0.21917808E+07  0.22053901E+21
  0.22700587E+07  0.23342555E+21
  0.23483366E+07  0.24659593E+21
  0.24266145E+07  0.26005017E+21
  0.25048924E+07  0.27378826E+21
  0.25831703E+07  0.28774268E+21
  0.26614481E+07  0.30182633E+21
  0.27397260E+07  0.31603923E+21
  0.28180039E+07  0.33038137E+21
  0.28962818E+07  0.34485275E+21
  0.29745597E+07  0.35945338E+21
  0.30528376E+07  0.37418325E+21
  0.31311155E+07  0.38904236E+21
  0.32093933E+07  0.40403072E+21
  0.32876712E+07  0.41914831E+21
  0.33659491E+07  0.43439515E+21
  0.34442270E+07  0.44980673E+21
  0.35225049E+07  0.46538630E+21
  0.36007828E+07  0.48113386E+21
  0.36790607E+07  0.49704941E+21
  0.37573386E+07  0.51313295E+21
  0.38356164E+07  0.52938448E+21
  0.39138943E+07  0.54580401E+21
  0.39921722E+07  0.56239153E+21
  0.40704501E+07  0.57914704E+21
  0.41487280E+07  0.59607055E+21
  0.42270059E+07  0.61312896E+21
  0.43052838E+07  0.63027139E+21
  0.43835616E+07  0.64749784E+21
  0.44618395E+07  0.66480831E+21
  0.45401174E+07  0.68220280E+21
  0.46183953E+07  0.69968130E+21
  0.46966732E+07  0.71724383E+21
  0.47749511E+07  0.73489037E+21
  0.48532290E+07  0.75262094E+21
  0.49315068E+07  0.77043552E+21
  0.50097847E+07  0.78833412E+21
  0.50880626E+07  0.80634598E+21
  0.51663405E+07  0.82447541E+21
  0.52446184E+07  0.84272240E+21
  0.53228963E+07  0.86108696E+21
  0.54011742E+07  0.87956909E+21
  0.54794521E+07  0.89816878E+21
  0.55577299E+07  0.91688605E+21
  0.56360078E+07  0.93572087E+21
  0.57142857E+07  0.95467327E+21
  0.57925636E+07  0.97374323E+21
  0.58708415E+07  0.99291093E+21
  0.59491194E+07  0.10121397E+22
  0.60273973E+07  0.10314295E+22
  0.61056751E+07  0.10507804E+22
  0.61839530E+07  0.10701924E+22
  0.62622309E+07  0.10896655E+22
  0.63405088E+07  0.11091996E+22
  0.64187867E+07  0.11287948E+22
